A,B,C,Change,Gain,Loss,Avg Gain,Avg Loss,HM,HMA
,1,,0.0,0.0,0.0,,,,
,2,44.09,,0.0,0.0,,,,
,3,44.15,0.06,0.06,0.0,,,,
,4,43.61,-0.54,0.0,0.54,,,,
,5,44.33,0.72,0.72,0.0,,,,
,6,44.83,0.5,0.5,0.0,,,,
,7,45.1,0.27,0.27,0.0,,,,
,8,45.42,0.32,0.32,0.0,,,,
,9,45.84,0.42,0.42,0.0,,,,
,10,46.08,0.24,0.24,0.0,,,,
,11,45.89,-0.19,0.0,0.19,,,,
,12,46.03,0.14,0.14,0.0,,,,
,13,45.61,-0.42,0.0,0.42,,,,
,14,46.28,0.67,0.67,0.0,,,HM,HMA
,15,46.28,0.0,0.0,0.0,0.24,0.1,2.4,70.59
,16,46.0,-0.28,0.0,0.28,0.22,0.11,1.95,66.09
,17,46.03,0.03,0.03,0.0,0.21,0.1,2.0,66.67
,18,46.41,0.38,0.38,0.0,0.22,0.1,2.26,69.37
,19,46.22,-0.19,0.0,0.19,0.2,0.1,1.93,65.88
,20,45.64,-0.58,0.0,0.58,0.19,0.14,1.38,57.95
,21,46.21,0.57,0.57,0.0,0.22,0.13,1.72,63.24
,22,46.25,0.04,0.04,0.0,0.21,0.12,1.77,63.91
,23,45.71,-0.54,0.0,0.54,0.2,0.15,1.35,57.38
,24,46.45,0.74,0.74,0.0,0.24,0.14,1.74,63.52
,25,45.78,-0.67,0.0,0.67,0.22,0.18,1.25,55.6
,26,45.35,-0.43,0.0,0.43,0.2,0.19,1.03,50.82
,27,44.03,-1.32,0.0,1.32,0.19,0.27,0.69,40.92
,28,44.18,0.15,0.15,0.0,0.19,0.26,0.75,42.7
,29,44.22,0.04,0.04,0.0,0.18,0.24,0.76,43.15
,30,44.57,0.35,0.35,0.0,0.19,0.22,0.86,46.34
,31,43.42,-1.15,0.0,1.15,0.18,0.29,0.63,38.59
,32,42.66,-0.76,0.0,0.76,0.17,0.32,0.53,34.69
,33,43.13,0.47,0.47,0.0,0.19,0.3,0.64,39.0
